id,Title,Image
1,"Remnants of Ancient Streambed on Mars",http://www.nasa.gov/images/content/692087main_Grotzinger-1-pia16156-43_428-321.jpg
2,"Curiosity's Roadside Discoveries",http://www.nasa.gov/images/content/692098main_Grotzinger-2-pia16157-43_428-321.jpg
3,"Where Water Flowed Downslope",http://www.nasa.gov/images/content/692109main_Grotzinger-3-pia16158-43_428-321.jpg
4,"Downslope of the Fan",http://www.nasa.gov/images/content/692121main_Grotzinger-4-pia16159-43_428-321.jpg

